slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
addition,cot,2,50,0.140,0.049,0.00,0.00,0.00,0.00,63,416
addition,cot,4,50,0.000,0.000,0.00,0.00,0.00,0.00,124,424
addition,cot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,204,432
addition,cot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,326,440
addition,cot,12,50,0.000,0.000,0.00,0.16,0.00,0.16,788,456
addition,cot,16,50,0.000,0.000,0.00,0.38,0.00,0.38,1313,472
addition,cot,24,50,0.000,0.000,0.00,0.76,0.00,0.76,1864,504
addition,nocot,2,50,0.920,0.038,0.00,0.00,0.00,0.00,6,181
addition,nocot,4,50,0.840,0.052,0.00,0.00,0.00,0.00,9,189
addition,nocot,6,50,0.020,0.020,0.00,0.00,0.00,0.00,10,197
addition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,12,205
addition,nocot,12,50,0.000,0.000,0.00,0.14,0.00,0.00,18,221
addition,nocot,16,50,0.000,0.000,0.00,0.32,0.00,0.00,22,237
addition,nocot,24,50,0.000,0.000,0.00,0.78,0.00,0.00,25,269
blocksworld,cot,2,50,0.920,0.038,0.00,0.00,0.00,0.00,412,4127
blocksworld,cot,4,50,0.780,0.059,0.00,0.00,0.00,0.00,716,4147
blocksworld,cot,6,50,0.720,0.063,0.00,0.00,0.00,0.00,1238,4165
blocksworld,cot,10,50,0.680,0.066,0.00,0.00,0.00,0.00,1658,4205
blocksworld,cot,16,50,0.460,0.070,0.00,0.00,0.00,0.00,2615,4264
blocksworld,cot,24,50,0.420,0.070,0.00,0.02,0.00,0.00,4260,4340
blocksworld,nocot,2,50,0.640,0.068,0.00,0.00,0.00,0.00,49,2002
blocksworld,nocot,4,50,0.620,0.069,0.00,0.00,0.00,0.00,49,2022
blocksworld,nocot,6,50,0.460,0.070,0.00,0.00,0.00,0.00,49,2040
blocksworld,nocot,10,50,0.240,0.060,0.00,0.00,0.00,0.00,52,2080
blocksworld,nocot,16,50,0.160,0.052,0.00,0.00,0.00,0.00,53,2139
blocksworld,nocot,24,50,0.200,0.057,0.00,0.00,0.00,0.00,51,2215
