slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
addition,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,61,46
addition,cot,4,50,0.600,0.069,0.00,0.00,0.00,0.00,123,97
addition,cot,6,50,0.060,0.034,0.00,0.00,0.00,0.00,211,46
addition,cot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,321,61
addition,cot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,614,106
addition,cot,16,50,0.000,0.000,0.00,0.00,0.00,0.00,1004,240
addition,cot,24,50,0.000,0.000,0.00,0.20,0.00,0.20,2093,352
addition,nocot,2,50,0.080,0.038,0.00,0.00,0.00,0.00,5,85
addition,nocot,4,50,0.140,0.049,0.00,0.00,0.00,0.00,6,43
addition,nocot,6,50,0.020,0.020,0.00,0.00,0.00,0.00,7,56
addition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,9,56
addition,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,11,63
addition,nocot,16,50,0.000,0.000,0.00,0.02,0.00,0.00,12,75
addition,nocot,24,50,0.000,0.000,0.00,0.02,0.00,0.00,14,106
blocksworld,cot,2,50,0.780,0.059,0.00,0.00,0.00,0.00,401,2638
blocksworld,cot,4,50,0.780,0.059,0.00,0.00,0.00,0.00,694,2178
blocksworld,cot,6,50,0.640,0.068,0.00,0.00,0.00,0.00,974,1619
blocksworld,cot,10,50,0.720,0.063,0.00,0.00,0.00,0.00,1471,1532
blocksworld,cot,16,50,0.880,0.046,0.00,0.00,0.00,0.02,1767,1503
blocksworld,cot,24,50,0.900,0.042,0.00,0.00,0.00,0.00,2195,1245
blocksworld,nocot,2,50,0.900,0.042,0.00,0.00,0.00,0.00,51,576
blocksworld,nocot,4,50,0.880,0.046,0.00,0.00,0.00,0.00,51,96
blocksworld,nocot,6,50,0.900,0.042,0.00,0.00,0.00,0.00,51,113
blocksworld,nocot,10,50,0.820,0.054,0.00,0.00,0.00,0.00,51,278
blocksworld,nocot,16,50,0.760,0.060,0.00,0.00,0.00,0.00,48,621
blocksworld,nocot,24,50,0.640,0.068,0.00,0.00,0.00,0.00,50,955
boolean_expressions,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,145,252
boolean_expressions,cot,3,50,1.000,0.000,0.00,0.00,0.00,0.00,161,13
boolean_expressions,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,194,66
boolean_expressions,cot,6,50,0.940,0.034,0.00,0.02,0.00,0.02,289,39
boolean_expressions,cot,8,50,0.960,0.028,0.00,0.00,0.00,0.00,348,81
boolean_expressions,cot,12,50,0.840,0.052,0.00,0.00,0.00,0.06,626,354
boolean_expressions,cot,16,50,0.680,0.066,0.00,0.08,0.00,0.16,875,356
boolean_expressions,nocot,2,50,0.980,0.020,0.00,0.00,0.00,0.00,4,130
boolean_expressions,nocot,3,50,0.880,0.046,0.00,0.00,0.00,0.00,4,133
boolean_expressions,nocot,4,50,0.760,0.060,0.00,0.00,0.00,0.00,4,137
boolean_expressions,nocot,6,50,0.580,0.070,0.00,0.00,0.00,0.00,4,143
boolean_expressions,nocot,8,50,0.560,0.070,0.00,0.00,0.00,0.00,4,149
boolean_expressions,nocot,12,50,0.460,0.070,0.00,0.00,0.00,0.00,4,164
boolean_expressions,nocot,16,50,0.600,0.069,0.00,0.00,0.00,0.00,4,176
cellular_automaton,cot,2,50,0.540,0.070,0.00,0.00,0.00,0.04,320,223
cellular_automaton,cot,4,50,0.460,0.070,0.00,0.00,0.00,0.00,622,19
cellular_automaton,cot,8,50,0.160,0.052,0.00,0.00,0.00,0.00,1283,20
cellular_automaton,cot,12,50,0.240,0.060,0.00,0.00,0.00,0.02,1972,65
cellular_automaton,cot,16,50,0.140,0.049,0.00,0.00,0.00,0.02,2920,137
cellular_automaton,cot,24,50,0.100,0.042,0.00,0.00,0.00,0.06,3190,385
cellular_automaton,nocot,2,50,0.000,0.000,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,4,50,0.000,0.000,0.00,0.00,0.00,0.00,7,742
cellular_automaton,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,16,50,0.000,0.000,0.00,0.00,0.00,0.00,7,753
cellular_automaton,nocot,24,50,0.000,0.000,0.00,0.00,0.00,0.00,7,758
cruxeval,cot,1,50,0.900,0.042,0.00,0.06,0.00,0.06,277,366
cruxeval,cot,2,50,0.900,0.042,0.00,0.02,0.00,0.02,162,53
cruxeval,cot,4,50,0.800,0.057,0.00,0.04,0.00,0.04,236,68
cruxeval,cot,6,50,0.860,0.049,0.00,0.04,0.00,0.04,254,95
cruxeval,cot,9,50,0.780,0.059,0.00,0.00,0.00,0.00,219,161
cruxeval,cot,12,50,0.740,0.062,0.00,0.00,0.00,0.00,284,230
cruxeval,cot,15,50,0.420,0.070,0.00,0.00,0.00,0.00,320,99
cruxeval,nocot,1,50,0.700,0.065,0.00,0.00,0.00,0.00,10,128
cruxeval,nocot,2,50,0.800,0.057,0.00,0.00,0.00,0.00,9,59
cruxeval,nocot,4,50,0.640,0.068,0.00,0.00,0.00,0.00,11,68
cruxeval,nocot,6,50,0.500,0.071,0.00,0.00,0.00,0.00,9,114
cruxeval,nocot,9,50,0.720,0.063,0.00,0.00,0.00,0.00,14,138
cruxeval,nocot,12,50,0.480,0.071,0.00,0.00,0.00,0.00,12,220
cruxeval,nocot,15,50,0.320,0.066,0.00,0.00,0.00,0.00,15,233
cup_shuffling,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,94,809
cup_shuffling,cot,3,50,1.000,0.000,0.00,0.00,0.00,0.00,114,818
cup_shuffling,cot,5,50,1.000,0.000,0.00,0.00,0.00,0.00,157,795
cup_shuffling,cot,8,50,1.000,0.000,0.00,0.00,0.00,0.00,226,745
cup_shuffling,cot,12,50,1.000,0.000,0.00,0.00,0.00,0.00,304,814
cup_shuffling,cot,16,50,0.920,0.038,0.00,0.00,0.00,0.00,382,824
cup_shuffling,cot,24,50,0.960,0.028,0.00,0.00,0.00,0.02,549,896
cup_shuffling,nocot,2,50,0.540,0.070,0.00,0.00,0.00,0.00,6,140
cup_shuffling,nocot,3,50,0.220,0.059,0.00,0.00,0.00,0.00,6,99
cup_shuffling,nocot,5,50,0.300,0.065,0.00,0.00,0.00,0.00,6,259
