slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
s5_composition,cot,2,50,0.080,0.038,0.00,0.00,0.00,0.00,30,218
s5_composition,cot,4,50,0.000,0.000,0.00,0.00,0.00,0.00,54,426
s5_composition,cot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,102,552
s5_composition,cot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,150,654
s5_composition,cot,16,50,0.000,0.000,0.00,0.00,0.00,0.00,198,666
s5_composition,cot,24,50,0.000,0.000,0.00,0.00,0.00,0.00,294,690
s5_composition,cot,32,50,0.000,0.000,0.00,0.00,0.00,0.00,390,714
s5_composition,nocot,2,50,0.040,0.028,0.00,0.00,0.00,0.00,6,436
s5_composition,nocot,4,50,0.020,0.020,0.00,0.00,0.00,0.00,6,442
s5_composition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,6,454
s5_composition,nocot,12,50,0.060,0.034,0.00,0.00,0.00,0.00,6,466
s5_composition,nocot,16,50,0.000,0.000,0.00,0.00,0.00,0.00,6,478
s5_composition,nocot,24,50,0.000,0.000,0.00,0.00,0.00,0.00,6,502
s5_composition,nocot,32,50,0.020,0.020,0.00,0.00,0.00,0.00,6,526
threesum,cot,2,50,0.420,0.070,0.00,0.04,0.00,0.04,406,85
threesum,cot,4,50,0.460,0.070,0.00,0.04,0.00,0.04,429,167
threesum,cot,8,50,0.540,0.070,0.00,0.08,0.00,0.08,751,184
threesum,cot,12,49,0.571,0.071,0.00,0.00,0.00,0.00,120,232
threesum,cot,22,49,0.531,0.071,0.00,0.04,0.00,0.04,458,236
threesum,cot,36,50,0.500,0.071,0.00,0.08,0.00,0.08,776,240
threesum,nocot,2,50,0.440,0.070,0.00,0.00,0.00,0.00,4,116
threesum,nocot,4,50,0.480,0.071,0.00,0.00,0.00,0.00,4,118
threesum,nocot,8,50,0.500,0.071,0.00,0.00,0.00,0.00,4,122
threesum,nocot,12,50,0.500,0.071,0.00,0.00,0.00,0.00,4,124
threesum,nocot,22,50,0.540,0.070,0.00,0.00,0.00,0.00,4,128
threesum,nocot,36,50,0.500,0.071,0.00,0.00,0.00,0.00,4,132
