slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
addition,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,65,399
addition,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,117,403
addition,cot,6,50,0.940,0.034,0.00,0.00,0.00,0.00,169,407
addition,cot,8,50,0.720,0.063,0.00,0.00,0.00,0.00,223,411
addition,cot,12,50,0.120,0.046,0.00,0.02,0.00,0.02,498,419
addition,cot,16,50,0.000,0.000,0.00,0.06,0.00,0.06,887,427
addition,cot,24,50,0.020,0.020,0.00,0.54,0.00,0.50,4696,443
addition,nocot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,6,171
addition,nocot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,9,175
addition,nocot,6,50,1.000,0.000,0.00,0.00,0.00,0.00,11,179
addition,nocot,8,50,0.980,0.020,0.00,0.00,0.00,0.00,13,183
addition,nocot,12,50,0.940,0.034,0.00,0.00,0.00,0.00,17,191
addition,nocot,16,50,0.920,0.038,0.00,0.00,0.00,0.00,20,199
addition,nocot,24,50,0.560,0.070,0.00,1.00,0.00,0.00,28,215
random_lookup_table,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,57,1691
random_lookup_table,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,109,1705
random_lookup_table,cot,8,50,1.000,0.000,0.00,0.00,0.00,0.00,213,1733
random_lookup_table,cot,16,50,0.980,0.020,0.00,0.00,0.00,0.00,428,1797
random_lookup_table,cot,24,50,1.000,0.000,0.00,0.00,0.00,0.00,644,1861
random_lookup_table,cot,32,50,0.960,0.028,0.00,0.00,0.00,0.00,860,1925
random_lookup_table,cot,48,50,0.960,0.028,0.00,0.00,0.00,0.00,1292,2053
random_lookup_table,nocot,2,50,0.140,0.049,0.00,0.00,0.00,0.00,5,1391
random_lookup_table,nocot,4,50,0.080,0.038,0.00,0.00,0.00,0.00,5,1405
random_lookup_table,nocot,8,50,0.040,0.028,0.00,0.00,0.00,0.00,5,1433
random_lookup_table,nocot,16,50,0.160,0.052,0.00,0.00,0.00,0.00,5,1497
random_lookup_table,nocot,24,50,0.160,0.052,0.00,0.00,0.00,0.00,5,1561
random_lookup_table,nocot,32,50,0.140,0.049,0.00,0.00,0.00,0.00,5,1625
random_lookup_table,nocot,48,50,0.080,0.038,0.00,0.00,0.00,0.00,5,1753
s5_composition,cot,2,50,0.920,0.038,0.00,0.00,0.00,0.00,123,1795
s5_composition,cot,4,50,0.800,0.057,0.00,0.00,0.00,0.00,237,1807
s5_composition,cot,8,50,0.780,0.059,0.00,0.00,0.00,0.00,478,1831
s5_composition,cot,12,50,0.680,0.066,0.00,0.00,0.00,0.00,713,1856
s5_composition,cot,16,50,0.560,0.070,0.00,0.00,0.00,0.00,949,1880
s5_composition,cot,24,50,0.400,0.069,0.00,0.00,0.00,0.00,1425,1928
s5_composition,cot,32,50,0.360,0.068,0.00,0.00,0.00,0.00,1974,1976
s5_composition,nocot,2,50,0.000,0.000,0.00,0.00,0.00,0.00,9,800
s5_composition,nocot,4,50,0.040,0.028,0.00,0.00,0.00,0.00,9,812
s5_composition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,9,836
s5_composition,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,9,861
s5_composition,nocot,16,50,0.020,0.020,0.00,0.00,0.00,0.00,9,885
s5_composition,nocot,24,50,0.000,0.000,0.00,0.00,0.00,0.00,9,933
s5_composition,nocot,32,50,0.000,0.000,0.00,0.00,0.00,0.00,9,981
threesum,cot,2,50,0.920,0.038,0.00,0.00,0.00,0.00,1242,1238
threesum,cot,4,50,0.980,0.020,0.00,0.00,0.00,0.00,2241,1245
threesum,cot,8,50,0.920,0.038,0.00,0.04,0.00,0.04,4949,1259
threesum,cot,12,50,0.300,0.065,0.00,0.70,0.00,0.70,7709,1267
threesum,cot,22,50,0.180,0.054,0.00,0.80,0.00,0.80,7457,1284
threesum,cot,36,50,0.160,0.052,0.00,0.80,0.00,0.80,7535,1300
threesum,nocot,2,50,0.460,0.070,0.00,0.00,0.00,0.00,4,657
threesum,nocot,4,50,0.520,0.071,0.00,0.00,0.00,0.00,4,664
threesum,nocot,8,50,0.540,0.070,0.00,0.00,0.00,0.00,4,678
threesum,nocot,12,50,0.500,0.071,0.00,0.00,0.00,0.00,4,686
threesum,nocot,22,50,0.460,0.070,0.00,0.00,0.00,0.00,4,703
threesum,nocot,36,50,0.500,0.071,0.00,0.00,0.00,0.00,4,719
