slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
addition,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,62,100
addition,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,111,9
addition,cot,6,50,1.000,0.000,0.00,0.00,0.00,0.00,161,163
addition,cot,8,50,0.840,0.052,0.00,0.00,0.00,0.00,210,282
addition,cot,12,50,0.460,0.070,0.00,0.00,0.00,0.00,316,250
addition,cot,16,50,0.280,0.063,0.00,0.00,0.00,0.00,400,221
addition,cot,24,50,0.000,0.000,0.00,0.18,0.00,0.18,1983,234
addition,nocot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,5,121
addition,nocot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,6,123
addition,nocot,6,50,1.000,0.000,0.00,0.00,0.00,0.00,7,123
addition,nocot,8,50,1.000,0.000,0.00,0.00,0.00,0.00,7,125
addition,nocot,12,50,1.000,0.000,0.00,0.00,0.00,0.00,9,127
addition,nocot,16,50,1.000,0.000,0.00,0.00,0.00,0.00,10,131
addition,nocot,24,50,1.000,0.000,0.00,0.00,0.00,0.00,13,135
random_lookup_table,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,55,1627
random_lookup_table,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,105,1641
random_lookup_table,cot,8,50,1.000,0.000,0.00,0.00,0.00,0.00,205,1669
random_lookup_table,cot,16,50,1.000,0.000,0.00,0.00,0.00,0.00,319,1725
random_lookup_table,cot,24,50,1.000,0.000,0.00,0.00,0.00,0.00,387,1781
random_lookup_table,cot,32,50,1.000,0.000,0.00,0.00,0.00,0.00,552,1783
random_lookup_table,cot,48,50,1.000,0.000,0.00,0.00,0.00,0.00,821,1934
random_lookup_table,nocot,2,50,0.160,0.052,0.00,0.00,0.00,0.00,5,1339
random_lookup_table,nocot,4,50,0.120,0.046,0.00,0.00,0.00,0.00,5,1353
random_lookup_table,nocot,8,50,0.080,0.038,0.00,0.00,0.00,0.00,5,1381
random_lookup_table,nocot,16,50,0.200,0.057,0.00,0.00,0.00,0.00,5,1422
random_lookup_table,nocot,24,50,0.200,0.057,0.00,0.00,0.00,0.00,5,1362
random_lookup_table,nocot,32,50,0.140,0.049,0.00,0.00,0.00,0.00,5,1301
random_lookup_table,nocot,48,50,0.120,0.046,0.00,0.00,0.00,0.00,5,1351
s5_composition,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,97,230
s5_composition,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,186,576
s5_composition,cot,8,50,0.820,0.054,0.00,0.00,0.00,0.00,371,1386
s5_composition,cot,12,50,0.780,0.059,0.00,0.00,0.00,0.00,560,1385
s5_composition,cot,16,50,0.700,0.065,0.00,0.00,0.00,0.00,727,1417
s5_composition,cot,24,50,0.560,0.070,0.00,0.00,0.00,0.02,1066,1411
s5_composition,cot,32,50,0.420,0.070,0.00,0.00,0.00,0.00,1358,1404
s5_composition,nocot,2,50,0.020,0.020,0.00,0.00,0.00,0.00,6,236
s5_composition,nocot,4,50,0.000,0.000,0.00,0.00,0.00,0.00,6,158
s5_composition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,6,244
s5_composition,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,6,654
s5_composition,nocot,16,50,0.000,0.000,0.00,0.00,0.00,0.00,6,666
s5_composition,nocot,24,50,0.020,0.020,0.00,0.00,0.00,0.00,6,690
s5_composition,nocot,32,50,0.000,0.000,0.00,0.00,0.00,0.00,6,714
threesum,cot,2,50,0.980,0.020,0.00,0.00,0.00,0.02,1007,789
threesum,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,1594,594
threesum,cot,8,50,0.920,0.038,0.00,0.02,0.00,0.02,3079,512
threesum,cot,12,50,0.920,0.038,0.00,0.02,0.00,0.02,3809,557
threesum,cot,22,50,0.660,0.067,0.00,0.28,0.00,0.28,5093,473
threesum,cot,36,50,0.440,0.070,0.00,0.50,0.00,0.50,6418,468
threesum,nocot,2,50,0.460,0.070,0.00,0.00,0.00,0.00,4,559
threesum,nocot,4,50,0.480,0.071,0.00,0.00,0.00,0.00,4,564
threesum,nocot,8,50,0.500,0.071,0.00,0.00,0.00,0.00,4,574
threesum,nocot,12,50,0.520,0.071,0.00,0.00,0.00,0.00,4,415
threesum,nocot,22,50,0.520,0.071,0.00,0.00,0.00,0.00,4,392
threesum,nocot,36,50,0.480,0.071,0.00,0.00,0.00,0.00,4,422
