slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
addition,cot,2,50,0.620,0.069,0.00,0.00,0.00,0.00,130,418
addition,cot,4,50,0.300,0.065,0.00,0.00,0.00,0.00,144,426
addition,cot,6,50,0.320,0.066,0.00,0.00,0.00,0.00,273,434
addition,cot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,331,442
addition,cot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,355,458
addition,cot,16,50,0.000,0.000,0.00,0.02,0.00,0.02,430,474
addition,cot,24,50,0.000,0.000,0.00,0.02,0.00,0.02,556,506
addition,nocot,2,50,0.120,0.046,0.00,0.00,0.00,0.00,5,188
addition,nocot,4,50,0.100,0.042,0.00,0.00,0.00,0.00,7,196
addition,nocot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,8,204
addition,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,9,212
addition,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,12,228
addition,nocot,16,50,0.000,0.000,0.00,0.02,0.00,0.00,14,244
addition,nocot,24,50,0.000,0.000,0.00,0.12,0.00,0.00,18,276
blocksworld,cot,2,50,0.960,0.028,0.00,0.00,0.00,0.00,410,4060
blocksworld,cot,4,50,0.980,0.020,0.00,0.00,0.00,0.00,703,4080
blocksworld,cot,6,50,0.980,0.020,0.00,0.00,0.00,0.00,994,4098
blocksworld,cot,10,50,0.980,0.020,0.00,0.00,0.00,0.00,1594,4138
blocksworld,cot,16,50,0.980,0.020,0.00,0.00,0.00,0.00,2473,4197
blocksworld,cot,24,50,0.960,0.028,0.00,0.00,0.00,0.00,3649,4273
blocksworld,nocot,2,50,0.960,0.028,0.00,0.00,0.00,0.00,47,1952
blocksworld,nocot,4,50,0.920,0.038,0.00,0.00,0.00,0.00,48,1972
blocksworld,nocot,6,50,0.880,0.046,0.00,0.00,0.00,0.00,49,1990
blocksworld,nocot,10,50,0.840,0.052,0.00,0.02,0.00,0.00,53,2030
blocksworld,nocot,16,50,0.740,0.062,0.00,0.04,0.00,0.00,51,2089
blocksworld,nocot,24,50,0.580,0.070,0.00,0.00,0.00,0.00,46,2165
boolean_expressions,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,129,728
boolean_expressions,cot,3,50,0.900,0.042,0.00,0.00,0.00,0.00,165,731
boolean_expressions,cot,4,50,0.880,0.046,0.00,0.00,0.00,0.00,199,735
boolean_expressions,cot,6,50,0.620,0.069,0.00,0.00,0.00,0.00,243,741
boolean_expressions,cot,8,50,0.620,0.069,0.00,0.00,0.00,0.00,298,747
boolean_expressions,cot,12,50,0.500,0.071,0.00,0.00,0.00,0.00,423,762
boolean_expressions,cot,16,50,0.500,0.071,0.00,0.00,0.00,0.00,559,774
boolean_expressions,nocot,2,50,0.960,0.028,0.00,0.00,0.00,0.00,4,180
boolean_expressions,nocot,3,50,0.860,0.049,0.00,0.00,0.00,0.00,4,183
boolean_expressions,nocot,4,50,0.620,0.069,0.00,0.00,0.00,0.00,4,187
boolean_expressions,nocot,6,50,0.700,0.065,0.00,0.00,0.00,0.00,4,193
boolean_expressions,nocot,8,50,0.600,0.069,0.00,0.00,0.00,0.00,4,199
boolean_expressions,nocot,12,50,0.420,0.070,0.00,0.00,0.00,0.00,4,214
boolean_expressions,nocot,16,50,0.440,0.070,0.00,0.00,0.00,0.00,4,226
cellular_automaton,cot,2,50,0.040,0.028,0.00,0.00,0.00,0.00,581,925
cellular_automaton,cot,4,50,0.000,0.000,0.00,0.74,0.00,0.74,975,925
cellular_automaton,cot,8,50,0.000,0.000,0.00,0.56,0.00,0.56,766,925
cellular_automaton,cot,12,50,0.020,0.020,0.00,0.20,0.00,0.20,551,925
cellular_automaton,cot,16,50,0.040,0.028,0.00,0.08,0.00,0.08,509,925
cellular_automaton,cot,24,50,0.000,0.000,0.00,0.30,0.00,0.30,668,925
cellular_automaton,nocot,2,50,0.000,0.000,0.00,0.00,0.00,0.00,7,847
cellular_automaton,nocot,4,50,0.000,0.000,0.00,0.00,0.00,0.00,7,847
cellular_automaton,nocot,8,50,0.000,0.000,0.00,0.00,0.00,0.00,7,847
cellular_automaton,nocot,12,50,0.000,0.000,0.00,0.00,0.00,0.00,7,847
cellular_automaton,nocot,16,50,0.120,0.046,0.00,0.00,0.00,0.00,7,847
cellular_automaton,nocot,24,50,0.120,0.046,0.00,0.00,0.00,0.00,7,847
cruxeval,cot,1,50,0.560,0.070,0.00,0.02,0.00,0.02,185,727
cruxeval,cot,2,50,0.680,0.066,0.00,0.00,0.00,0.00,159,742
cruxeval,cot,4,50,0.700,0.065,0.00,0.02,0.00,0.02,209,757
cruxeval,cot,6,50,0.680,0.066,0.00,0.00,0.00,0.00,231,758
cruxeval,cot,9,50,0.800,0.057,0.00,0.00,0.00,0.00,238,760
cruxeval,cot,12,50,0.580,0.070,0.00,0.00,0.00,0.00,278,761
cruxeval,cot,15,50,0.560,0.070,0.00,0.00,0.00,0.00,323,763
cruxeval,nocot,1,50,0.700,0.065,0.00,0.00,0.00,0.00,10,355
cruxeval,nocot,2,50,0.620,0.069,0.00,0.00,0.00,0.00,9,370
cruxeval,nocot,4,50,0.580,0.070,0.00,0.00,0.00,0.00,10,385
cruxeval,nocot,6,50,0.560,0.070,0.00,0.00,0.00,0.00,9,386
cruxeval,nocot,9,50,0.680,0.066,0.00,0.00,0.00,0.00,14,388
cruxeval,nocot,12,50,0.440,0.070,0.00,0.00,0.00,0.00,13,389
cruxeval,nocot,15,50,0.260,0.062,0.00,0.00,0.00,0.00,14,391
cup_shuffling,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,94,853
cup_shuffling,cot,3,50,1.000,0.000,0.00,0.00,0.00,0.00,114,861
cup_shuffling,cot,5,50,1.000,0.000,0.00,0.00,0.00,0.00,161,878
