slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
cellular_automaton,cot,1,27,0.593,0.095,0.00,0.00,0.00,0.00,134,2016
cellular_automaton,cot,2,50,0.440,0.070,0.00,0.00,0.00,0.00,256,2016
cellular_automaton,cot,4,50,0.120,0.046,0.00,0.00,0.00,0.00,500,2016
cellular_automaton,cot,6,50,0.020,0.020,0.00,0.00,0.00,0.00,744,2016
cellular_automaton,cot,10,50,0.020,0.020,0.00,0.00,0.00,0.00,1233,2018
cellular_automaton,cot,14,50,0.000,0.000,0.00,0.00,0.00,0.00,1725,2018
cellular_automaton,nocot,1,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,2,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,4,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,10,50,0.000,0.000,0.00,0.00,0.00,0.00,12,955
cellular_automaton,nocot,14,50,0.020,0.020,0.00,0.00,0.00,0.00,12,955
hanoi,cot,2,50,0.980,0.020,0.00,0.00,0.00,0.00,75,1518
hanoi,cot,4,50,0.980,0.020,0.00,0.00,0.00,0.00,137,1540
hanoi,cot,8,50,0.960,0.028,0.00,0.00,0.00,0.00,246,1584
hanoi,cot,16,50,0.860,0.049,0.00,0.04,0.00,0.04,627,1672
hanoi,cot,32,50,0.420,0.070,0.00,0.42,0.00,0.42,1722,1848
hanoi,cot,64,50,0.020,0.020,0.00,0.96,0.00,0.96,2690,2200
hanoi,nocot,2,50,0.640,0.068,0.00,0.00,0.00,0.00,16,1137
hanoi,nocot,4,50,0.340,0.067,0.00,0.00,0.00,0.00,16,1159
hanoi,nocot,8,50,0.100,0.042,0.00,0.00,0.00,0.00,16,1203
hanoi,nocot,16,50,0.020,0.020,0.00,0.00,0.00,0.00,16,1291
hanoi,nocot,32,50,0.000,0.000,0.00,0.00,0.00,0.00,17,1467
hanoi,nocot,64,50,0.000,0.000,0.00,0.00,0.00,0.00,18,1819
