slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
cellular_automaton,cot,1,50,0.780,0.059,0.00,0.00,0.00,0.00,124,263
cellular_automaton,cot,2,50,0.540,0.070,0.00,0.00,0.00,0.00,269,19
cellular_automaton,cot,4,50,0.360,0.068,0.00,0.00,0.00,0.00,557,182
cellular_automaton,cot,6,50,0.240,0.060,0.00,0.00,0.00,0.00,955,934
cellular_automaton,cot,10,50,0.040,0.028,0.00,0.04,0.00,0.04,1508,715
cellular_automaton,cot,14,50,0.120,0.046,0.00,0.20,0.00,0.16,1934,582
cellular_automaton,nocot,1,50,0.020,0.020,0.00,0.00,0.00,0.00,7,758
cellular_automaton,nocot,2,50,0.020,0.020,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,4,50,0.020,0.020,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,7,758
cellular_automaton,nocot,10,50,0.000,0.000,0.00,0.00,0.00,0.00,7,737
cellular_automaton,nocot,14,50,0.000,0.000,0.00,0.00,0.00,0.00,7,735
hanoi,cot,2,50,1.000,0.000,0.00,0.00,0.00,0.00,182,1218
hanoi,cot,4,50,1.000,0.000,0.00,0.00,0.00,0.00,293,1338
hanoi,cot,8,50,1.000,0.000,0.00,0.00,0.00,0.00,543,1214
hanoi,cot,16,50,1.000,0.000,0.00,0.00,0.00,0.00,798,1317
hanoi,cot,32,50,1.000,0.000,0.00,0.00,0.00,0.00,1424,1510
hanoi,cot,64,50,0.680,0.066,0.00,0.32,0.00,0.32,2322,1886
hanoi,nocot,2,50,0.960,0.028,0.00,0.00,0.00,0.00,16,1055
hanoi,nocot,4,50,0.820,0.054,0.00,0.00,0.00,0.00,16,887
hanoi,nocot,8,50,0.320,0.066,0.00,0.00,0.00,0.00,16,715
hanoi,nocot,16,50,0.120,0.046,0.00,0.00,0.00,0.00,17,884
hanoi,nocot,32,50,0.020,0.020,0.00,0.00,0.00,0.00,18,770
hanoi,nocot,64,50,0.060,0.034,0.00,0.00,0.00,0.00,18,1367
