slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
cellular_automaton,cot,1,50,1.000,0.000,0.00,0.00,0.00,0.00,371,4149
cellular_automaton,cot,2,50,0.840,0.052,0.00,0.00,0.00,0.00,730,4149
cellular_automaton,cot,3,50,0.820,0.054,0.00,0.00,0.00,0.00,1089,4149
cellular_automaton,cot,4,50,0.580,0.070,0.00,0.00,0.00,0.00,1448,4149
cellular_automaton,cot,6,50,0.460,0.070,0.00,0.00,0.00,0.00,2166,4149
cellular_automaton,cot,10,50,0.100,0.042,0.00,0.00,0.00,0.00,3603,4151
cellular_automaton,nocot,1,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,2,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,3,50,0.000,0.000,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,4,50,0.020,0.020,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,12,953
cellular_automaton,nocot,10,50,0.000,0.000,0.00,0.00,0.00,0.00,12,955
