slug,condition,depth,n,acc,stderr,leak_rate,trunc_rate,hidden_reasoning_rate,no_answer_rate,mean_out_tok,mean_in_tok
cellular_automaton,cot,1,50,0.980,0.020,0.00,0.00,0.00,0.00,320,374
cellular_automaton,cot,2,50,0.960,0.028,0.00,0.00,0.00,0.00,630,656
cellular_automaton,cot,3,50,0.920,0.038,0.00,0.00,0.00,0.00,943,1314
cellular_automaton,cot,4,50,0.820,0.054,0.00,0.00,0.00,0.00,1141,1415
cellular_automaton,cot,6,50,0.660,0.067,0.00,0.00,0.00,0.00,1589,1852
cellular_automaton,cot,10,50,0.460,0.070,0.00,0.00,0.00,0.00,2130,1933
cellular_automaton,nocot,1,50,0.020,0.020,0.00,0.00,0.00,0.00,7,742
cellular_automaton,nocot,2,50,0.020,0.020,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,3,50,0.000,0.000,0.00,0.00,0.00,0.00,7,742
cellular_automaton,nocot,4,50,0.020,0.020,0.00,0.00,0.00,0.00,7,773
cellular_automaton,nocot,6,50,0.000,0.000,0.00,0.00,0.00,0.00,7,742
cellular_automaton,nocot,10,50,0.000,0.000,0.00,0.00,0.00,0.00,7,737
