slug,format,model,depth,condition,k,k_frac,n,acc,se
nested_arithmetic,published,qwen9b,7,cont,2,0.2857,50,1.0000,0.0000
nested_arithmetic,published,qwen9b,7,cont,4,0.5714,50,1.0000,0.0000
nested_arithmetic,published,qwen9b,7,cont,5,0.7143,50,1.0000,0.0000
nested_arithmetic,published,qwen9b,7,goldko,0,0.0000,50,0.0000,0.0000
nested_arithmetic,published,qwen9b,7,goldko,2,0.2857,50,0.0000,0.0000
nested_arithmetic,published,qwen9b,7,goldko,4,0.5714,50,0.0000,0.0000
nested_arithmetic,published,qwen9b,7,goldko,5,0.7143,50,0.0400,0.0277
nested_arithmetic,published,qwen9b,7,goldko,6,0.8571,50,0.4200,0.0698
nested_arithmetic,published,qwen9b,7,mistake,2,0.2857,50,0.0600,0.0336
nested_arithmetic,published,qwen9b,7,mistake,4,0.5714,50,0.0400,0.0277
nested_arithmetic,published,qwen9b,7,mistake,5,0.7143,50,0.0200,0.0198
turing_machine,published,qwen9b,4,cont,1,0.2500,50,0.8000,0.0566
turing_machine,published,qwen9b,4,cont,2,0.5000,50,0.7800,0.0586
turing_machine,published,qwen9b,4,cont,3,0.7500,50,0.9200,0.0384
turing_machine,published,qwen9b,4,goldko,0,0.0000,50,0.0200,0.0198
turing_machine,published,qwen9b,4,goldko,1,0.2500,50,0.0000,0.0000
turing_machine,published,qwen9b,4,goldko,2,0.5000,50,0.0000,0.0000
turing_machine,published,qwen9b,4,goldko,3,0.7500,50,0.0000,0.0000
turing_machine,published,qwen9b,4,mistake,1,0.2500,50,0.3400,0.0670
turing_machine,published,qwen9b,4,mistake,2,0.5000,50,0.4600,0.0705
turing_machine,published,qwen9b,4,mistake,3,0.7500,50,0.1600,0.0518
synthetic_program_trace,published,qwen9b,32,cont,8,0.2500,50,0.9200,0.0384
synthetic_program_trace,published,qwen9b,32,cont,16,0.5000,50,0.9600,0.0277
synthetic_program_trace,published,qwen9b,32,cont,24,0.7500,50,0.9800,0.0198
synthetic_program_trace,published,qwen9b,32,goldko,0,0.0000,50,0.0200,0.0198
synthetic_program_trace,published,qwen9b,32,goldko,8,0.2500,50,0.0400,0.0277
synthetic_program_trace,published,qwen9b,32,goldko,16,0.5000,50,0.0400,0.0277
synthetic_program_trace,published,qwen9b,32,goldko,24,0.7500,50,0.1400,0.0491
synthetic_program_trace,published,qwen9b,32,goldko,31,0.9688,50,1.0000,0.0000
synthetic_program_trace,published,qwen9b,32,mistake,8,0.2500,50,0.2600,0.0620
synthetic_program_trace,published,qwen9b,32,mistake,16,0.5000,50,0.3200,0.0660
synthetic_program_trace,published,qwen9b,32,mistake,24,0.7500,50,0.3400,0.0670
dyck,published,qwen9b,8,cont,2,0.2500,50,0.8600,0.0491
dyck,published,qwen9b,8,cont,4,0.5000,50,0.8800,0.0460
dyck,published,qwen9b,8,cont,6,0.7500,50,0.8400,0.0518
dyck,published,qwen9b,8,goldko,0,0.0000,50,0.2000,0.0566
dyck,published,qwen9b,8,goldko,2,0.2500,50,0.0000,0.0000
dyck,published,qwen9b,8,goldko,4,0.5000,50,0.1000,0.0424
dyck,published,qwen9b,8,goldko,6,0.7500,50,0.0400,0.0277
dyck,published,qwen9b,8,goldko,7,0.8750,50,0.0200,0.0198
dyck,published,qwen9b,8,mistake,2,0.2500,50,0.3200,0.0660
dyck,published,qwen9b,8,mistake,4,0.5000,50,0.4000,0.0693
dyck,published,qwen9b,8,mistake,6,0.7500,50,0.2600,0.0620
cup_shuffling,published,qwen9b,12,cont,3,0.2500,50,1.0000,0.0000
cup_shuffling,published,qwen9b,12,cont,6,0.5000,50,0.9800,0.0198
cup_shuffling,published,qwen9b,12,cont,9,0.7500,50,1.0000,0.0000
cup_shuffling,published,qwen9b,12,goldko,0,0.0000,50,0.2600,0.0620
cup_shuffling,published,qwen9b,12,goldko,3,0.2500,50,0.2800,0.0635
cup_shuffling,published,qwen9b,12,goldko,6,0.5000,50,0.3600,0.0679
cup_shuffling,published,qwen9b,12,goldko,9,0.7500,50,0.2800,0.0635
cup_shuffling,published,qwen9b,12,goldko,11,0.9167,50,0.4000,0.0693
cup_shuffling,published,qwen9b,12,mistake,3,0.2500,50,0.2200,0.0586
cup_shuffling,published,qwen9b,12,mistake,6,0.5000,50,0.3400,0.0670
cup_shuffling,published,qwen9b,12,mistake,9,0.7500,50,0.2400,0.0604
s5_composition,ergonomic,qwen9b,8,cont,2,0.2500,50,0.8200,0.0543
s5_composition,ergonomic,qwen9b,8,cont,4,0.5000,50,0.8800,0.0460
s5_composition,ergonomic,qwen9b,8,cont,6,0.7500,50,0.9600,0.0277
s5_composition,ergonomic,qwen9b,8,goldko,0,0.0000,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,goldko,2,0.2500,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,goldko,4,0.5000,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,goldko,6,0.7500,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,goldko,7,0.8750,50,0.0400,0.0277
s5_composition,ergonomic,qwen9b,8,mistake,2,0.2500,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,mistake,4,0.5000,50,0.0000,0.0000
s5_composition,ergonomic,qwen9b,8,mistake,6,0.7500,50,0.0000,0.0000
random_lookup_table,ergonomic,qwen9b,24,cont,6,0.2500,50,1.0000,0.0000
random_lookup_table,ergonomic,qwen9b,24,cont,12,0.5000,50,1.0000,0.0000
random_lookup_table,ergonomic,qwen9b,24,cont,18,0.7500,50,1.0000,0.0000
random_lookup_table,ergonomic,qwen9b,24,goldko,0,0.0000,50,0.0600,0.0336
random_lookup_table,ergonomic,qwen9b,24,goldko,6,0.2500,50,0.1000,0.0424
random_lookup_table,ergonomic,qwen9b,24,goldko,12,0.5000,50,0.0600,0.0336
random_lookup_table,ergonomic,qwen9b,24,goldko,18,0.7500,50,0.1200,0.0460
random_lookup_table,ergonomic,qwen9b,24,goldko,23,0.9583,50,0.1000,0.0424
random_lookup_table,ergonomic,qwen9b,24,mistake,6,0.2500,50,0.0000,0.0000
random_lookup_table,ergonomic,qwen9b,24,mistake,12,0.5000,50,0.0200,0.0198
random_lookup_table,ergonomic,qwen9b,24,mistake,18,0.7500,50,0.0000,0.0000
threesum,ergonomic,qwen9b,8,cont,2,0.2500,50,0.3400,0.0670
threesum,ergonomic,qwen9b,8,cont,4,0.5000,50,0.4200,0.0698
threesum,ergonomic,qwen9b,8,cont,6,0.7500,50,0.5400,0.0705
threesum,ergonomic,qwen9b,8,goldko,0,0.0000,50,0.4800,0.0707
threesum,ergonomic,qwen9b,8,goldko,2,0.2500,50,0.4600,0.0705
threesum,ergonomic,qwen9b,8,goldko,4,0.5000,50,0.4600,0.0705
threesum,ergonomic,qwen9b,8,goldko,6,0.7500,50,0.4600,0.0705
threesum,ergonomic,qwen9b,8,goldko,7,0.8750,50,0.4600,0.0705
threesum,ergonomic,qwen9b,8,mistake,2,0.2500,50,0.5400,0.0705
threesum,ergonomic,qwen9b,8,mistake,4,0.5000,50,0.5400,0.0705
threesum,ergonomic,qwen9b,8,mistake,6,0.7500,50,0.5400,0.0705
hanoi,execute,qwen9b,16,cont,4,0.2500,50,0.8400,0.0518
hanoi,execute,qwen9b,16,cont,8,0.5000,50,0.8400,0.0518
hanoi,execute,qwen9b,16,cont,12,0.7500,50,0.9400,0.0336
hanoi,execute,qwen9b,16,goldko,0,0.0000,50,0.0000,0.0000
hanoi,execute,qwen9b,16,goldko,4,0.2500,50,0.0600,0.0336
hanoi,execute,qwen9b,16,goldko,8,0.5000,50,0.0200,0.0198
hanoi,execute,qwen9b,16,goldko,12,0.7500,50,0.0000,0.0000
hanoi,execute,qwen9b,16,goldko,15,0.9375,50,0.0000,0.0000
hanoi,execute,qwen9b,16,mistake,4,0.2500,50,0.6600,0.0670
hanoi,execute,qwen9b,16,mistake,8,0.5000,50,0.5400,0.0705
hanoi,execute,qwen9b,16,mistake,12,0.7500,50,0.4200,0.0698
cellular_automaton,cells3,qwen9b,3,cont,1,0.3333,50,0.8400,0.0518
cellular_automaton,cells3,qwen9b,3,cont,2,0.6667,50,0.9000,0.0424
cellular_automaton,cells3,qwen9b,3,goldko,0,0.0000,50,0.0000,0.0000
cellular_automaton,cells3,qwen9b,3,goldko,1,0.3333,50,0.0600,0.0336
cellular_automaton,cells3,qwen9b,3,goldko,2,0.6667,50,0.0000,0.0000
cellular_automaton,cells3,qwen9b,3,mistake,1,0.3333,50,0.0000,0.0000
cellular_automaton,cells3,qwen9b,3,mistake,2,0.6667,50,0.0000,0.0000
