slug,format,model,depth,goldko_k0,goldko_q1,goldko_half,goldko_q3,goldko_dm1,prop_q1,prop_half,prop_q3,mean_propagation,cont_mean,k_q1,k_half,k_q3,mistake_q1,mistake_half,mistake_q3,cont_q1,cont_half,cont_q3,n_per_cell
nested_arithmetic,published,qwen9b,7,0.0000,0.0000,0.0000,0.0400,0.4200,0.9400,0.9600,0.9800,0.9600,1.0000,2,4,5,0.0600,0.0400,0.0200,1.0000,1.0000,1.0000,50
turing_machine,published,qwen9b,4,0.0200,0.0000,0.0000,0.0000,0.0000,0.4600,0.3200,0.7600,0.5133,0.8333,1,2,3,0.3400,0.4600,0.1600,0.8000,0.7800,0.9200,50
synthetic_program_trace,published,qwen9b,32,0.0200,0.0400,0.0400,0.1400,1.0000,0.6600,0.6400,0.6400,0.6467,0.9533,8,16,24,0.2600,0.3200,0.3400,0.9200,0.9600,0.9800,50
dyck,published,qwen9b,8,0.2000,0.0000,0.1000,0.0400,0.0200,0.5400,0.4800,0.5800,0.5333,0.8600,2,4,6,0.3200,0.4000,0.2600,0.8600,0.8800,0.8400,50
cup_shuffling,published,qwen9b,12,0.2600,0.2800,0.3600,0.2800,0.4000,0.7800,0.6400,0.7600,0.7267,0.9933,3,6,9,0.2200,0.3400,0.2400,1.0000,0.9800,1.0000,50
s5_composition,ergonomic,qwen9b,8,0.0000,0.0000,0.0000,0.0000,0.0400,0.8200,0.8800,0.9600,0.8867,0.8867,2,4,6,0.0000,0.0000,0.0000,0.8200,0.8800,0.9600,50
random_lookup_table,ergonomic,qwen9b,24,0.0600,0.1000,0.0600,0.1200,0.1000,1.0000,0.9800,1.0000,0.9933,1.0000,6,12,18,0.0000,0.0200,0.0000,1.0000,1.0000,1.0000,50
threesum,ergonomic,qwen9b,8,0.4800,0.4600,0.4600,0.4600,0.4600,-0.2000,-0.1200,0.0000,-0.1067,0.4333,2,4,6,0.5400,0.5400,0.5400,0.3400,0.4200,0.5400,50
hanoi,execute,qwen9b,16,0.0000,0.0600,0.0200,0.0000,0.0000,0.1800,0.3000,0.5200,0.3333,0.8733,4,8,12,0.6600,0.5400,0.4200,0.8400,0.8400,0.9400,50
cellular_automaton,cells3,qwen9b,3,0.0000,0.0600,0.0000,0.0000,0.0000,0.8400,0.9000,0.9000,0.8800,0.8800,1,2,2,0.0000,0.0000,0.0000,0.8400,0.9000,0.9000,50
