slug,format,depth,n,step_tokens_mean,state_tokens_mean,state_frac,mean_propagation,density_est,bits_per_step,bits_per_state_token,estimable,note
nested_arithmetic,published,7,30,46.69,2.87,0.062,0.96,0.059,11.34,3.949,yes,"depth from batch3 plan; state written more than once per step; canonical copy only: 2.4 tok, frac 0.052; corrupt_step edits inside span: 121/121; step tokens: first 64.9, middle 44.4, last 39.8, within-trace sd 18.7"
turing_machine,published,4,30,51.27,10.15,0.198,0.51,0.101,,,yes,"depth from batch3 plan; corrupt_step edits inside span: 129/129; desk.json has no state_bits (queue length unbounded), so no bits per state token; step tokens: first 49.5, middle 51.6, last 52.5, within-trace sd 2.2"
synthetic_program_trace,published,32,30,29.86,18.46,0.618,0.65,0.402,20.0,1.083,yes,"depth from batch3 plan; corrupt_step edits inside span: 91/91; step tokens: first 19.0, middle 30.4, last 23.9, within-trace sd 4.7"
dyck,published,8,30,7.87,1.87,0.238,0.53,0.126,2.0,1.069,yes,"depth from batch3 plan; corrupt_step edits inside span: 90/90; step tokens: first 7.0, middle 7.8, last 8.9, within-trace sd 0.9"
cup_shuffling,published,12,30,23.35,12.9,0.552,0.73,0.403,2.585,0.2,yes,"depth from batch3 plan; corrupt_step edits inside span: 287/287; step tokens: first 23.1, middle 23.3, last 24.1, within-trace sd 0.4"
s5_composition,ergonomic,8,30,56,14,0.25,0.89,0.223,6.907,0.493,yes,"depth from batch3 plan; state written more than once per step; canonical copy only: 5.0 tok, frac 0.089; corrupt_step edits inside span: 360/360; step tokens: first 56.0, middle 56.0, last 56.0, within-trace sd 0.0"
s5_composition,published,8,30,17,5,0.294,,,6.907,1.381,partial,"depth from batch3 plan; corrupt_step edits inside span: 180/180; published (SFT) format for side-by-side; batch 3 ran the ergonomic format, so no propagation; step tokens: first 17.0, middle 17.0, last 17.0, within-trace sd 0.0"
random_lookup_table,ergonomic,24,30,25.62,4,0.156,0.99,0.155,3.322,0.83,yes,"depth from batch3 plan; state written more than once per step; canonical copy only: 2.0 tok, frac 0.078; corrupt_step edits inside span: 180/180; step tokens: first 25.0, middle 25.6, last 26.0, within-trace sd 0.5"
random_lookup_table,published,24,30,6.58,2,0.304,,,3.322,1.661,partial,"depth from batch3 plan; corrupt_step edits inside span: 90/90; published (SFT) format for side-by-side; batch 3 ran the ergonomic format, so no propagation; step tokens: first 6.0, middle 6.6, last 7.0, within-trace sd 0.5"
threesum,ergonomic,8,30,71.54,21.54,0.301,-0.11,,3.322,0.154,no,"depth from batch3 plan; state written more than once per step; canonical copy only: 1.0 tok, frac 0.014; corrupt_step edits inside span: 388/388; propagation is negative (-0.11): the clean continuation already fails (cont 0.34-0.54), so a corrupted step has nothing to break. The load-bearing state is the enumeration position (which candidate triple comes next); it shows up only as the step label (i,j,k), which is scaffolding here and which corrupt_step never touches, so the counted span (sums + verdict) is not what the model relies on. desk.json's 3.32 bits is one mod-10 digit, not this state; step tokens: first 71.5, middle 71.5, last 71.7, within-trace sd 0.5"
threesum,published,8,30,16.3,1.3,0.08,,,3.322,2.555,no,"depth from batch3 plan; corrupt_step edits inside span: 90/90; format for a model trained from scratch; the real state is the enumeration position, written only as the index label; no propagation measured; published (SFT) format for side-by-side; batch 3 ran the ergonomic format, so no propagation; step tokens: first 16.1, middle 16.2, last 17.1, within-trace sd 0.6"
hanoi,execute,16,30,27.32,12.89,0.472,0.33,0.156,6.34,0.492,yes,"depth from batch3 plan; hanoi bits = 4 disks x log2(3); corrupt_step edits inside span: 180/180; each state is recomputable from the prompt's move list, so the model can route around a corrupted state (propagation 0.33); density reflects that redundancy, not a bad measurement; step tokens: first 26.9, middle 27.3, last 27.7, within-trace sd 1.0"
cellular_automaton,cells,3,30,358,61,0.17,0.88,0.15,8.0,0.131,yes,"depth from batch3 plan; state written more than once per step; canonical copy only: 8.0 tok, frac 0.022; corrupt_step edits inside span: 407/407; the running row is rewritten after every cell (9 copies of the 8-cell row per generation); the full count is an upper bound, the canonical row: line alone is the floor; step tokens: first 358.0, middle 358.0, last 358.0, within-trace sd 0.0"
addition,ergonomic,2,30,21.9,2,0.091,,,4.32,2.16,partial,"depth from batch2 plan; step tokens: first 21.4, last 22.4, within-trace sd 0.5"
addition,published,2,30,10,3,0.3,,,4.32,1.44,partial,"depth from batch2 plan; published (SFT) format for side-by-side; batch 3 ran the ergonomic format, so no propagation; step tokens: first 11.0, last 9.0, within-trace sd 1.0"
boolean_expressions,published,12,30,22.3,1.08,0.049,,,1.0,0.923,partial,"depth from batch2 plan; state written more than once per step; canonical copy only: 1.0 tok, frac 0.045; state is one True/False token per step (1 bit); knockout curve is flat, so it is unclear the value chain is read at all; no propagation measured; step tokens: first 21.0, middle 21.4, last 32.4, within-trace sd 6.2"
blocksworld,published,2,30,150.32,43.35,0.288,,,6.97,0.161,partial,"depth from batch2 plan; the step restates the previous state (Current State) and the action's preconditions in prose; only the Resulting State line counted; no propagation measured; step tokens: first 154.6, last 146.0, within-trace sd 4.3"
entity_tracking_boxes,published,8,30,16.12,10.12,0.628,,,94.6,,partial,"depth from batch2 plan; delta format: each step lists only the boxes the operation touched, so the full 94.6-bit state is never written in one step (bits per state token left blank); no propagation measured; step tokens: first 16.8, middle 15.8, last 17.1, within-trace sd 4.6"
cruxeval,published,6,30,21.41,,,,,,,no,"depth from batch2 plan; free prose/code-delta trace: no fixed state field; each step reports only the variable a line touches, so the program state is never written in full; step tokens: first 21.7, middle 21.7, last 20.0, within-trace sd 4.7"
