slug,format,model,depth,n,acc_cot,se_cot,acc_nocot,se_nocot,gap,p_mcnemar,n_paired,tok_out_cot_mean,tok_out_nocot_mean,tok_per_step,truncated_rate_cot,hidden_reasoning_rate,sources,superseded_sources,n_cot,n_nocot,b_cot_only,c_nocot_only,leak_rate_nocot,no_answer_rate_cot,n_unscored,cot_lines_per_step,cot_len_ratio_vs_gold
addition,published,qwen9b,2,50,0.1400,0.0491,0.9200,0.0384,-0.7800,3.820e-11,50,62.5800,6.5000,31.2900,0.0000,0.0000,batch1,,50,50,1,40,0.0000,0.0000,0,4.0300,1.0044
addition,published,qwen9b,4,50,0.0000,0.0000,0.8400,0.0518,-0.8400,4.547e-13,50,124.1800,8.7000,31.0450,0.0000,0.0000,batch1,,50,50,0,42,0.0000,0.0000,0,2.4750,0.9818
addition,published,qwen9b,6,50,0.0000,0.0000,0.0200,0.0198,-0.0200,1.0000,50,204.4000,9.5400,34.0667,0.0000,0.0000,batch1,,50,50,0,1,0.0000,0.0000,0,1.9600,0.9563
addition,published,qwen9b,8,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,325.8400,11.7400,40.7300,0.0000,0.0000,batch1,,50,50,0,0,0.0000,0.0000,0,1.7575,0.9986
addition,published,qwen9b,12,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,788.2600,17.7000,65.6883,0.1600,0.0000,batch1,,50,50,0,0,0.0000,0.1600,0,1.7033,1.2586
addition,published,qwen9b,16,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,1313.3800,21.6800,82.0863,0.3800,0.0000,batch1,,50,50,0,0,0.0000,0.3800,0,2.3500,1.3189
addition,published,qwen9b,24,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,1864.3800,24.8000,77.6825,0.7600,0.0000,batch1,,50,50,0,0,0.0000,0.7600,0,1.5783,0.9094
addition,published,llama70b,2,50,0.6200,0.0686,0.1200,0.0460,0.5000,4.172e-07,50,129.6200,5.3200,64.8100,0.0000,0.0000,batch1-70b,,50,50,26,1,0.0000,0.0000,0,5.6000,4.7583
addition,published,llama70b,4,50,0.3000,0.0648,0.1000,0.0424,0.2000,0.0309,50,144.2200,7.0800,36.0550,0.0000,0.0000,batch1-70b,,50,50,14,4,0.0000,0.0000,0,3.1600,1.7390
addition,published,llama70b,6,50,0.3200,0.0660,0.0000,0.0000,0.3200,3.052e-05,50,272.8800,8.1800,45.4800,0.0000,0.0000,batch1-70b,,50,50,16,0,0.0000,0.0000,0,4.0767,2.5194
addition,published,llama70b,8,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,331.1200,8.9800,41.3900,0.0000,0.0000,batch1-70b,,50,50,0,0,0.0000,0.0000,0,3.0750,1.7779
addition,published,llama70b,12,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,355.0000,11.8000,29.5833,0.0000,0.0000,batch1-70b,,50,50,0,0,0.0000,0.0000,0,1.6000,1.0270
addition,published,llama70b,16,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,430.4800,13.5600,26.9050,0.0200,0.0000,batch1-70b,,50,50,0,0,0.0000,0.0200,0,1.4175,0.7354
addition,published,llama70b,24,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,556.0600,17.5000,23.1692,0.0200,0.0000,batch1-70b,,50,50,0,0,0.0000,0.0200,0,1.3133,0.4663
addition,published,ds,2,50,1.0000,0.0000,0.0800,0.0384,0.9200,2.842e-14,50,60.8800,5.1400,30.4400,0.0000,0.0000,batch1-ds,,50,50,46,0,0.0000,0.0000,0,4.0000,0.9995
addition,published,ds,4,50,0.6000,0.0693,0.1400,0.0491,0.4600,1.550e-06,50,123.3200,6.1600,30.8300,0.0000,0.0000,batch1-ds,,50,50,24,1,0.0000,0.0000,0,2.4800,0.9933
addition,published,ds,6,50,0.0600,0.0336,0.0200,0.0198,0.0400,0.5000,50,211.3200,7.2800,35.2200,0.0000,0.0000,batch1-ds,,50,50,2,0,0.0000,0.0000,0,2.0000,1.0008
addition,published,ds,8,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,321.0000,8.7800,40.1250,0.0000,0.0000,batch1-ds,,50,50,0,0,0.0000,0.0000,0,1.7500,1.0001
addition,published,ds,12,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,613.6600,11.0600,51.1383,0.0000,0.0000,batch1-ds,,50,50,0,0,0.0000,0.0000,0,1.5000,0.9981
addition,published,ds,16,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,1003.7600,12.4800,62.7350,0.0000,0.0000,batch1-ds,,50,50,0,0,0.0000,0.0000,0,1.3750,0.9999
addition,published,ds,24,50,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50,2093.2200,14.5000,87.2175,0.2000,0.0000,batch1-ds,,50,50,0,0,0.0000,0.2000,0,2.0975,1.1794
addition,ergonomic,qwen9b,2,50,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,50,64.8200,6.4600,32.4100,0.0000,0.0000,batch1-erg-9b,,50,50,0,0,0.0000,0.0000,0,2.5000,1.0000
